ID_materia,Nombre
1,ADMINISTRACIÓN DE PROYECTOS DE INFORMACIÓN
2,ÁLGEBRA LINEAL
3,ALGORITMOS
4,ALGORITMOS Y PROGRAMACIÓN
5,ANÁLISIS DE CIRCUITOS ELÉCTRICOS
6,ANÁLISIS DE MECANISMOS
7,ARQUITECTURA DE PROCESADORES
8,ARQUITECTURA PARA LA INTEGRACIÓN DE TECNOLOGÍA
9,CÁLCULO DIFERENCIAL E INTEGRAL
10,CÁLCULO VECTORIAL
11,CIENCIA E INGENIERÍA DE LOS MATERIALES
12,CIRCUITOS LÓGICOS
13,COMPETITIVIDAD Y DESARROLLO DE EMPRENDEDORES
14,COMUNICACIÓN Y RELACIONES HUMANAS
15,CONTROL CLÁSICO
16,CONTROL DIGITAL
17,CONTROL SECUENCIAL
18,DESARROLLO ORGANIZACIONAL
19,DIBUJO PARA INGENIERÍA
20,DINÁMICA
21,DISEÑO DE BASES DE DATOS
